#  RA  Dec  l  b
208.491  28.3543  401.613  76.1209
213.452  54.6465  459.9  58.6451
210.488  10.8367  351.822  66.7511
210.008  34.5714  423.986  73.5357
209.074  44.2999  449.964  68.4485
211.724  38.0397  432.245  70.7819
214.144  18.9968  374.846  68.8353
208.072  50.7469  460.915  63.7018
210.47  43.796  447.075  68.1065
207.193  54.7558  466.082  60.458
209.122  54.3971  463.748  60.2427
209.928  22.387  379.638  73.8083
210.209  32.8592  418.014  73.9434
209.528  42.6307  446.054  69.4072
211.331  35.8163  426.432  72.0536
211.228  -1.04151  337.992  56.7422
210.544  -24.8028  322.682  35.3402
211.564  30.3435  408.447  73.3074
211.644  39.0992  435.083  70.2993
210.437  39.1945  436.864  71.0324
209.664  2.58383  339.032  60.6535
209.906  57.6855  466.126  57.1635
211.185  23.8984  385.943  73.1653
209.216  33.8808  422.54  74.3994
212.022  -3.34041  337.143  54.3581
209.522  -8.1077  329.889  51.2408
207.711  51.1335  461.804  63.4894
211.398  30.9154  410.49  73.3744
212.54  41.8169  440.373  68.2133
211.551  55.8115  462.876  58.3109
211.793  36.2088  427.095  71.5524
212.468  36.4922  427.213  70.941
211.726  20.3055  375.389  71.4549
209.119  48.9681  457.345  64.8044
210.709  55.0446  462.858  59.2145
214.043  49.1618  452.054  62.5779
210.402  51.0113  458.532  62.6644
210.631  29.7892  406.774  74.1674
213.214  53.79  459.109  59.4113
213.71  26.5121  395.794  71.4034
211.284  54.1801  461.379  59.7571
213.85  29.0121  403.649  71.4074
208.566  53.9123  463.831  60.8253
210.73  47.3378  452.936  65.4137
208.924  20.1425  370.935  73.7294
213.633  14.7124  364.415  67.0212
214.262  26.5799  396.177  70.9204
213.425  9.30032  354.249  63.6379
211.935  35.359  424.463  71.7765
206.185  17.8919  358.767  74.6293
210.361  46.4277  451.929  66.2635
211.598  44.6978  447.331  66.8995
209.028  -9.37388  328.383  50.2735
212.106  -17.4242  327.834  41.6937
213.163  43.2944  442.742  66.9571
209.445  38.3189  435.94  72.1636
212.897  31.3686  411.357  72.0391
212.999  29.4059  404.974  72.1391
210.493  30.2274  408.422  74.2394
210.838  29.9159  407.171  73.9768
208.232  35.2982  428.617  74.5504
210.14  -13.1989  327.682  46.3233
211.766  39.9905  437.129  69.7384
210.754  6.20851  345.273  63.0343
211.823  -12.2917  330.39  46.4952
214.745  47.675  448.995  63.2779
209.683  19.2467  369.444  72.6673
212.773  52.2793  457.667  60.7663
213.237  25.8389  393.506  71.7349
210.664  48.4641  454.736  64.5821
211.809  3.66835  343.875  60.3662
209.473  -1.59784  334.688  57.118
211.165  24.303  387.286  73.2835
213.465  29.219  404.326  71.7397
207.529  -10.1839  325.773  50.0666
211.054  42.4607  443.605  68.6827
209.651  7.90368  345.631  65.0463
211.705  33.6426  419.377  72.5204
207.616  53.6504  464.585  61.3259
210.804  43.1911  445.436  68.3408
212.226  3.71114  344.604  60.156
211.748  17.3051  367.463  69.9815
206.809  19.1079  363.817  74.888
208.878  57.8611  467.173  57.2647
210.446  -21.7571  323.858  38.2382
213.597  19.7448  376.11  69.626
211.646  40.4078  438.27  69.5793
208.085  53.1643  463.581  61.6169
207.829  7.4738  341.508  65.7541
208.219  25.1284  388.121  76.0748
213.457  12.3658  359.553  65.7018
212.075  47.2072  451.122  64.8958
210.308  22.1732  379.37  73.4033
208.072  25.9282  391.328  76.3448
211.293  41.5656  441.362  69.1079
210.725  18.3436  368.564  71.3576
208.89  48.9754  457.642  64.8858
212.663  42.5034  441.695  67.7299
210.681  26.0626  393.144  74.0419
212.236  -6.78  334.683  51.2488
210.925  27.7676  399.38  73.9696
209.321  57.4966  466.471  57.4786
209.144  48.8609  457.165  64.8815
211.531  35.8043  426.187  71.9098
211.416  58.4623  465.563  56.0934
206.915  36.6459  435.063  74.7653
210.192  34.8581  424.71  73.2859
206.752  42.8446  450.825  70.6524
208.259  -31.4308  318.034  29.6271
208.475  -14.8251  324.674  45.3923
210.236  28.0863  400.508  74.5852
208.767  52.9497  462.61  61.5968
211.224  45.5288  449.302  66.5087
209.637  40.2285  440.538  70.9178
212.429  6.04331  347.885  61.875
208.467  -0.421983  334.04  58.6263
210.445  48.8866  455.612  64.3439
210.085  35.3077  426.261  73.1868
209.737  31.583  413.816  74.6494
210.417  28.123  400.65  74.4256
209.309  44.7715  450.489  67.9875
210.156  0.761061  337.992  58.8398
209.39  -5.19304  331.701  53.9429
208.998  52.4067  461.759  61.9878
209.822  -13.9764  326.847  45.7201
209.894  35.8983  428.329  73.0733
214.378  56.6264  461.334  56.746
211.724  18.1831  369.636  70.4621
211.281  59.7517  466.807  55.0108
210.66  45.0058  449.087  67.1598
209.751  -14.3842  326.54  45.3668
209.406  18.0241  365.542  72.242
207.871  60.4449  470.004  55.1517
209.95  21.1983  375.777  73.3368
209.948  21.6009  377.068  73.4996
209.435  41.7517  444.324  70.0544
208.118  54.0377  464.428  60.8443
208.119  12.7843  350.806  69.7557
210.229  30.5669  409.78  74.4196
209.887  27.9585  400.008  74.892
211.266  43.9961  446.422  67.5515
208.75  27.1912  396.823  75.8706
208.481  49.7714  459.207  64.3809
210.518  46.5501  451.931  66.1002
213.152  58.7132  464.43  55.4042
210.303  -9.48874  330.105  49.6647
214.058  -13.8003  332.248  44.1903
209.332  32.8717  418.854  74.6446
214.778  -9.01453  336.413  48.0744
209.878  32.9025  418.456  74.1977
210.445  52.9371  460.815  61.067
207.701  35.5666  430.292  74.801
213.171  31.5569  411.842  71.7787
210.585  37.6357  432.531  71.7633
208.853  40.2864  441.845  71.3463
210.884  56.9433  464.593  57.5449
211.813  52.8931  459.375  60.6306
210.395  1.96745  339.624  59.7443
211.945  23.1276  384.093  72.283
213.784  43.4378  442.334  66.5117
213.058  57.8218  463.635  56.1771
209.403  55.503  464.565  59.2038
211.129  -26.1971  322.722  33.8496
209.893  45.058  450.197  67.4966
210.836  37.8248  432.735  71.4967
211.788  48.21  453.037  64.2893
209.554  25.4695  390.364  74.9527
210.005  57.0415  465.458  57.7004
213.384  46.6974  448.796  64.6207
211.569  3.78517  343.618  60.6011
207.02  -21.6635  320.016  39.3208
211.926  -18.4405  327.099  40.8237
208.841  -5.77055  330.45  53.6497
209.427  54.4172  463.461  60.1357
207.99  24.9914  387.381  76.2495
210.842  37.0197  430.486  71.883
210.44  33.6349  420.449  73.5261
210.097  38.0926  434.421  71.8574
210.391  12.0012  353.731  67.6555
209.908  18.8287  368.608  72.2717
208.548  36.6988  432.606  73.6376
207.594  23.9268  382.65  76.333
210.455  53.7964  461.77  60.346
208.099  29.5498  406.732  76.3809
209.03  56.2657  465.637  58.6387
210.857  51.4632  458.606  62.1316
212.67  45.993  448.385  65.4629
211.525  43.7224  445.56  67.5962
210.674  34.8993  424.322  72.9048
212.882  36.0316  425.521  70.8129
209.34  30.0137  408.085  75.2558
212.795  37.2851  429.06  70.3724
210.642  40.871  440.65  69.9207
207.696  11.7684  348.003  69.2655
210.436  31.1916  411.948  74.1425
207.722  20.0729  368.679  74.6794
211.193  20.7774  376.091  72.1063
211.589  17.534  367.79  70.2329
209.077  36.5289  431.331  73.3583
208.132  22.6478  378.339  75.4515
210.93  43.4203  445.73  68.1193
211.228  26.138  393.648  73.565
208.248  40.6985  443.764  71.4223
210.099  10.2968  350.189  66.6098
210.695  -8.66054  331.191  50.2544
211.649  34.883  423.3  72.1662
210.695  24.4552  387.456  73.735
212.345  49.8153  454.792  62.8402
211.372  28.9814  403.723  73.5755
210.293  39.9474  438.935  70.6885
212.247  11.6032  356.229  66.0751
211.21  42.3813  443.234  68.6454
208.838  9.73663  346.864  66.9839
