#  RA  Dec  l  b
201.993  10.361  331.83  71.1528
206.175  -34.5656  315.218  27.0313
204.285  -48.0653  310.77  14.1089
206.28  -43.541  313.129  18.2644
201.317  -24.9626  312.571  37.2746
205.099  23.41  17.0458  78.3304
204.409  -17.5939  318.283  43.8957
207.004  18.4662  2.24828  74.3655
206.224  -8.38241  324.832  52.2006
206.833  27.5595  38.126  77.5872
206.195  -4.11585  327.356  56.2045
205.996  31.9279  58.8564  77.6143
203.072  -27.7903  313.858  34.2126
206.209  -26.5941  317.48  34.7638
204.766  -50.56  310.613  11.5993
206.728  -18.8331  320.731  42.1123
204.904  -14.38  320.124  46.8765
205.056  -21.2606  317.861  40.1918
206.329  -22.4735  318.938  38.717
203.088  -7.93442  320.149  53.5634
209.276  -16.7442  324.765  43.3252
206.487  -0.75847  330.304  59.1844
203.186  -59.2161  308.197  3.23204
206.231  -18.4161  320.28  42.6457
202.046  -34.6387  311.45  27.6239
204.686  1.87572  329.089  62.3198
205.385  -3.88842  326.139  56.708
208.396  -10.8165  326.652  49.1709
207.215  -49.67  312.372  12.1454
207.26  -9.06479  326.003  51.2073
203.443  9.79603  334.87  69.9966
205.992  -41.0053  313.492  20.7859
203.73  -10.9445  319.845  50.4931
206.997  -19.2158  320.91  41.6724
207.636  -14.4433  323.761  46.0234
201.351  -30.7323  311.492  31.5736
204.732  -7.22294  323.129  53.7754
206.176  -1.41932  329.238  58.7042
204.863  -43.7573  312.026  18.2642
204.59  14.8342  346.894  73.5568
206.18  4.50438  334.586  64.0503
206.264  -30.1546  316.492  31.3006
207.422  -52.2102  311.915  9.64168
205.942  -8.40477  324.39  52.2723
205.276  -50.308  310.988  11.7844
208.044  -41.2384  315.039  20.2001
204.892  46.9223  100.526  68.0578
201.801  3.22228  324.143  64.6102
203.617  -39.9642  311.81  22.1638
205.113  -25.0029  316.777  36.5468
205.9  36.1531  75.324  75.717
201.985  -20.4967  314.376  41.5619
207.542  22.6497  17.5439  75.9595
206.402  15.0651  351.898  72.5582
210.165  -22.5645  323.2  37.5667
206.3  -22.2269  318.989  38.9618
205.762  -21.5124  318.607  39.7825
205.017  41.9857  92.2604  72.1255
204.464  18.319  355.849  76.1516
205.902  -48.1504  311.844  13.8156
205.3  -27.3379  316.308  34.2372
205.44  -28.4069  316.155  33.1686
208.314  -10.6517  326.63  49.3534
204.649  28.4491  42.8721  79.4912
204.435  17.1915  352.428  75.3993
205.949  -26.4558  317.247  34.9554
204.188  -22.4644  316.474  39.2121
205.675  -45.1767  312.322  16.7574
204.95  -44.4265  311.953  17.5957
207.047  29.4469  46.7601  77.3018
202.811  9.18209  332.439  69.7395
205.799  -23.249  318.079  38.0948
206.583  1.20761  332.141  60.9264
203.084  -53.3284  309.087  9.0532
205.954  -46.3818  312.26  15.5382
206.489  11.898  345.595  70.1111
206.312  13.2207  347.71  71.2467
207.518  -46.5988  313.299  15.0883
208.345  12.1083  349.98  69.1065
207.959  -18.0722  322.546  42.4866
204.951  -31.8072  314.78  29.9486
206.221  24.3752  23.0103  77.6617
207.151  29.496  46.9304  77.2063
205.596  -8.6434  323.735  52.1577
205.927  -14.1619  321.604  46.8052
207.62  42.426  88.551  70.5423
207.979  6.97584  341.138  65.2576
209.106  -14.9467  325.426  45.0669
205.721  -42.4329  312.957  19.4342
205.413  -23.7965  317.472  37.6525
209.451  12.5851  353.078  68.716
203.827  -0.102009  325.876  60.7997
