#  RA  Dec  l  b
209.901  -6.426  331.584  52.6108
207.885  24.3685  24.7436  76.1971
205.581  -42.5761  312.819  19.3158
202.541  -8.66913  318.958  52.9927
207.836  -23.3526  320.322  37.4869
207.554  -40.5159  314.845  20.9914
205.692  -32.8076  315.228  28.8347
203.914  -7.16937  321.842  54.0701
205.876  -12.6863  322.185  48.2286
203.989  -47.9971  310.581  14.2117
206.241  -22.8021  318.726  38.4215
201.821  0.577034  322.361  62.0884
204.501  -30.1138  314.762  31.6852
205.501  -10.2861  322.768  50.627
204.775  -48.9683  310.926  13.1615
205.313  -50.5657  310.96  11.5271
206.044  -19.5189  319.641  41.6345
206.983  8.74628  341.561  67.2771
206.755  12.1722  346.697  70.1632
206.432  -43.8914  313.162  17.8984
200.608  -12.7889  314.575  49.3804
204.547  -61.3389  308.501  1.02559
205.269  2.49595  330.785  62.6515
206.999  -18.2488  321.294  42.5965
205.87  -54.7148  310.459  7.39366
204.328  -11.6146  320.445  49.6901
205.457  -48.2492  311.524  13.7792
209.092  -18.3269  323.81  41.8964
204.272  -1.42715  325.794  59.4023
205.045  -35.1179  314.067  26.697
207.29  -8.96543  326.104  51.2897
207.642  -14.1108  323.926  46.3357
205.988  3.10887  332.779  62.8958
205.244  -15.6785  320.07  45.5376
204.903  11.8843  341.817  71.0225
203.758  3.16722  328.306  63.8696
206.798  -58.4999  310.169  3.58528
201.817  -35.3713  311.111  26.9302
201.983  -54.609  308.244  7.88536
206.037  -31.3095  315.952  30.2252
204.345  -40.7522  312.241  21.2869
206.556  -37.5189  314.796  24.0866
201.472  4.58108  324.458  66.0019
207.972  -29.9889  318.212  31.0819
205.558  -47.1431  311.823  14.8491
205.913  -33.9716  315.133  27.6593
207.049  16.7918  357.632  73.2907
204.15  -3.36384  324.329  57.6189
202.407  3.25618  325.495  64.4413
